"id","predictedTissue","predictedTissueScore","annotatedTissue","misclasified","study","sra.library_layout","Tissue","too_low"
"SRR7460825","Retina","0.990148913499102","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460826","Retina","0.99619921682924","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460827","Retina","0.993539232309256","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460828","Retina","0.995935668636897","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460831","Retina","0.98733696311641","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460833","Retina","0.981190106903725","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460838","Retina","0.994841514487494","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460839","Retina","0.991609411050021","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460840","Retina","0.992501756903225","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460841","Retina","0.984526104370624","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460850","Retina","0.995741209265233","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460857","Retina","0.9919257203864","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460858","Retina","0.976669169870099","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460861","Retina","0.981762598140314","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460862","Retina","0.982775190982761","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460865","Retina","0.947293576215412","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460872","Retina","0.993309932360584","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460876","Retina","0.990437693360829","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460879","Retina","0.991307277795357","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460881","Retina","0.990717932114145","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460882","Retina","0.986937447716382","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460884","Retina","0.9821180156221","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460885","Retina","0.965282825989337","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460886","Retina","0.980351590049847","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460887","Retina","0.991959613639201","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460888","Retina","0.995258503541689","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460894","Retina","0.99057467848611","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460895","Retina","0.994980789519859","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460896","Retina","0.99582256697036","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460897","Retina","0.993676515310318","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460898","Retina","0.99644121605469","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460899","Retina","0.995972949185718","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460900","Retina","0.989743128516301","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460901","Retina","0.98882998173507","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460902","Retina","0.992744267340658","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460903","Retina","0.996654025333081","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460904","Retina","0.997466655984562","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460905","Retina","0.993020024914897","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460906","Retina","0.989436358852402","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460907","Retina","0.989598089723178","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460908","Retina","0.993235782526557","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460909","Retina","0.995693580437408","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460910","Retina","0.995644000642382","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460911","Retina","0.995205542961298","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460913","Retina","0.990107179355134","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460916","Retina","0.997728684902402","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460917","Retina","0.994525700389746","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460918","Retina","0.9949765461676","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460919","Retina","0.994488256210614","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460920","Retina","0.978993803175802","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460921","Retina","0.988173326515058","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460922","Retina","0.992586385837816","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460923","Retina","0.988996229542065","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460925","Retina","0.994352759521831","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460930","Retina","0.966241752791012","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460934","Retina","0.979816870985764","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460935","Retina","0.99356076282615","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460936","Retina","0.993659812451448","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460937","Retina","0.971664191678336","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460938","Retina","0.990631542690564","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460939","Retina","0.98939115342369","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460941","Retina","0.981018072329964","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460944","Retina","0.995050316982136","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460945","Retina","0.995650698337964","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460956","Retina","0.991567928488615","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460958","Retina","0.983718548168284","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460959","Retina","0.993825595366497","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460961","Retina","0.979121165147434","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460962","Retina","0.993003315753053","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460963","Retina","0.990518884854891","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460964","Retina","0.992850375708355","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460965","Retina","0.989218889925414","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460966","Retina","0.992274548928781","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460968","Retina","0.994970325776072","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460969","Retina","0.990591938501269","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460970","Retina","0.993573680893935","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460971","Retina","0.996846782987911","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460972","Retina","0.996115615402977","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460973","Retina","0.996105555485395","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460974","Retina","0.99423817048393","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460975","Retina","0.99255907683848","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460976","Retina","0.990927290904225","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460977","Retina","0.994015484035225","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460979","Retina","0.98899842580876","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460980","Retina","0.994119580028566","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460981","Retina","0.989922590512881","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460982","Retina","0.993177746779529","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460983","Retina","0.99495983962032","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460984","Retina","0.988462574503379","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460990","Retina","0.991888938497582","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460991","Retina","0.992051455106493","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460992","Retina","0.990037719961614","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460994","Retina","0.991965938471545","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460998","Retina","0.994032365009811","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7460999","Retina","0.992261053830988","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461002","Retina","0.989559016178441","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461003","Retina","0.994651723042901","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461008","Retina","0.994009868874383","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461009","Retina","0.991830693474954","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461011","Retina","0.995980085910956","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461013","Retina","0.991079705536754","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461017","Retina","0.994806459355488","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461020","Retina","0.990639285488247","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461026","Retina","0.992425084772864","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461029","Retina","0.991560843013017","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461034","Retina","0.993892736927592","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461035","Retina","0.994069916998534","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461036","Retina","0.985157574461056","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461038","Retina","0.986861936762134","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461039","Retina","0.996020481995544","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461040","Retina","0.955666425296381","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461043","Retina","0.988437648430463","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461044","Retina","0.991447918373909","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461046","Retina","0.991526170677217","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461047","Retina","0.992881754508845","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461048","Retina","0.993638764979145","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461049","Retina","0.989246615429295","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461050","Retina","0.985867744673878","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461054","Retina","0.987136511086537","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461062","Retina","0.992465155077895","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461063","Retina","0.996410021455342","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461064","Retina","0.992711847758621","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461066","Retina","0.991116067501827","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461067","Retina","0.992781466226222","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461069","Retina","0.97030342542262","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461073","Retina","0.992865523388911","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461074","Retina","0.993885409543144","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461075","Retina","0.992624633197628","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461077","Retina","0.997560504124972","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461079","Retina","0.992891867358833","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461081","Retina","0.996810773967979","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461082","Retina","0.992602893141527","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461083","Retina","0.994860818347261","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461084","Retina","0.992373971591177","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461085","Retina","0.995033701786579","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461089","Retina","0.982959097563498","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461090","Retina","0.995259292639431","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461091","Retina","0.991110311057918","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461094","Retina","0.96981480349727","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461095","Retina","0.995778364606401","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461097","Retina","0.995125092396518","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461099","Retina","0.994640241708798","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461100","Retina","0.99204850296708","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461101","Retina","0.996553644400674","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461102","Retina","0.99265562210304","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461103","Retina","0.994821006529043","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461104","Retina","0.995556810276441","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461105","Retina","0.989782869186875","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461106","Retina","0.97859329509991","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461107","Retina","0.985109621334004","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461108","Retina","0.993190808919365","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461110","Retina","0.980119418234457","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461111","Retina","0.989688003369162","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461112","Retina","0.979960031214736","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461113","Retina","0.967825266829105","Retina","FALSE","SRP151763","paired","Retina","FALSE"
"SRR7461114","Retina","0.995089338678469","Retina","FALSE","SRP151763","paired","Retina","FALSE"
